Designator,Mid X,Mid Y,Rotation,Layer
C1,42.5,-55.0,90.0,top
C10,16.98,-32.8,270.0,top
C11,30.0,-60.2,0.0,bottom
C12,45.0,-60.2,0.0,bottom
C13,45.0,-73.2,0.0,bottom
C14,15.0,-60.2,0.0,bottom
C15,7.5,-82.0,0.0,top
C16,43.2,-77.2,0.0,top
C17,22.5,-88.4,0.0,top
C19,8.7,-19.52,90.0,top
C2,44.9,-55.0,90.0,top
C20,43.2,-78.2,0.0,top
C22,51.65,-79.6,90.0,top
C23,28.2,-77.2,0.0,top
C24,50.9,-92.4,270.0,bottom
C25,52.6,-85.9,90.0,bottom
C26,37.6,-85.9,90.0,bottom
C27,15.0,-73.2,0.0,bottom
C28,52.6,-89.5,270.0,bottom
C29,28.2,-78.2,0.0,top
C3,47.31,-55.0,90.0,top
C30,22.5,-84.1,0.0,top
C31,50.65,-79.6,90.0,top
C32,22.5,-82.0,0.0,top
C33,22.6,-85.9,90.0,bottom
C35,30.0,-73.2,0.0,bottom
C37,15.014,-36.0996,90.0,top
C38,35.9,-92.4,270.0,bottom
C39,37.6,-89.5,270.0,bottom
C4,40.3,-55.55,90.0,top
C40,16.014,-36.0996,90.0,top
C41,13.2,-77.2,0.0,top
C42,37.5,-88.4,0.0,top
C43,13.2,-78.2,0.0,top
C44,7.5,-86.2,0.0,top
C45,37.5,-84.1,0.0,top
C46,7.5,-88.4,0.0,top
C47,7.5,-84.1,0.0,top
C48,35.2,-77.2,180.0,top
C49,37.5,-82.0,0.0,top
C5,34.7,-54.15,180.0,top
C50,22.5,-86.2,0.0,top
C52,6.6,-32.995,270.0,top
C53,6.6,-31.09,90.0,top
C54,15.3,-17.5,270.0,top
C55,12.72,-27.5,180.0,top
C56,19.0,-15.8,180.0,top
C57,16.3,-17.5,270.0,top
C58,36.2,-27.5375,270.0,bottom
C59,34.6,-27.5625,270.0,bottom
C6,40.1,-42.8,90.0,top
C60,7.4,-27.1,90.0,top
C61,8.7,-22.02,90.0,top
C62,8.7,-24.52,90.0,top
C63,30.6,-16.8,180.0,top
C64,30.6,-15.8,180.0,top
C65,24.8,-12.72,90.0,top
C66,25.8,-12.72,90.0,top
C67,37.5,-86.2,0.0,top
C68,52.5,-88.4,0.0,top
C69,16.8,-22.215,0.0,top
C7,16.814,-48.5196,270.0,top
C70,16.8,-27.615,180.0,top
C71,24.0,-16.9,0.0,top
C72,20.6,-32.505,270.0,top
C73,20.3,-23.8,180.0,top
C74,20.6,-25.6,90.0,top
C75,24.0,-36.6,180.0,top
C76,36.5,-36.7,0.0,top
C77,39.4,-20.2,90.0,top
C78,24.0,-17.9,0.0,top
C79,17.814,-48.5196,270.0,top
C8,14.014,-36.0996,90.0,top
C80,20.6,-30.605,90.0,top
C81,52.5,-82.0,0.0,top
C82,37.6,-42.8,90.0,top
C83,34.6,-36.7,180.0,top
C84,39.8,-21.7,0.0,top
C86,35.1,-42.8,90.0,top
C88,52.5,-84.1,0.0,top
C89,20.9,-92.4,270.0,bottom
C9,18.02,-32.8,270.0,top
C90,52.5,-86.2,0.0,top
C91,22.6,-89.5,270.0,bottom
C93,43.8,-44.0,90.0,top
C94,44.3,-20.3,90.0,top
C95,46.4,-20.3,90.0,top
C96,35.2,-78.2,180.0,top
C97,20.22,-77.2,180.0,top
C98,20.22,-78.2,180.0,top
CC1,30.0,-27.3,0.0,top
D1,52.1,-22.3,0.0,top
D2,45.0,-28.7,315.0,top
D3,47.1,-43.9,90.0,top
D4,34.7,-4.2,90.0,top
D5,25.0,-4.2,90.0,top
D6,52.1,-24.8,0.0,top
D7,46.1,-78.8,270.0,top
D8,31.1,-78.8,270.0,top
D9,16.101,-78.8,270.0,top
